what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1352237367521
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1352237373193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237383844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237396196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1352237411333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237415751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237423427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237426591
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237439795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237442663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237540748
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1352237560592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352237564041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1352237715244
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1352237722645
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1352237725892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237937821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352237940096
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352238302372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352238305475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1352238324009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352238328168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1352238367223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352238489149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1352238557165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1352238574587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352238581210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1352238584083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1352238620243
